Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 MPI,,1796,103,140,06/06 → 06/10
1.8 TBI 16V,,1742,147,200,04/09 → 11/11
1.9 JTDM 16V,939A2.000,1910,110,150,09/05 → 06/10
1.9 JTDM 16V,939A8.000,1910,100,136,09/05 → 11/11
1.9 JTDM 8V,939A1.000,1910,88,120,09/05 → 11/11
1.9 JTDM 8V,939A7.000,1910,85,116,09/05 → 11/11
1.9 JTS 16V,939A6.000,1859,118,160,09/05 → 02/08
2.0 JTDM 16V,,1956,100,136,06/10 → 11/11
2.0 JTDM 16V,,1956,125,170,04/09 → 11/11
2.2 JTS 16V,939A5.000,2198,136,185,09/05 → 11/11
2.4 JTDM 20V,939A3.000,2387,147,200,09/05 → 11/11
2.4 JTDM 20V,,2387,154,210,03/07 → 11/11
3.2 JTS V6 24V,,3196,191,260,09/05 → 11/11
