Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 (A),AR 30500,1186,50,68,06/83 → 12/89
"1.3 (A1B,C,G)",AR 30586,1351,55,75,06/83 → 12/89
"1.3 (A1A,C,D,F,H)","AR 30587, AR 30168",1351,63,86,10/84 → 12/89
1.4,,1351,58,79,01/81 → 12/89
1.4,,1351,66,90,01/84 → 12/88
1.4,,1351,58,79,06/91 → 09/94
1.4 i.e.,,1351,66,90,01/81 → 12/89
"1.4 i.e. (A3A,A3B)",AR 30755,1351,66,90,06/91 → 09/94
"1.4 i.e. (A3A,A3B)",AR 30755,1351,65,88,06/91 → 09/94
1.5,,1490,70,95,01/82 → 12/93
1.5 (A2G),AR 30520,1490,66,90,06/83 → 12/86
1.5 (A2),,1490,75,102,07/86 → 12/89
1.5,,1490,71,97,01/90 → 09/94
1.5,AR 30750,1490,74,101,07/90 → 08/91
1.5 4x4 (A2),AR 30504,1490,62,84,11/83 → 12/84
1.5 4x4 (A2A),AR 30514,1490,70,95,01/84 → 12/89
1.5 4x4 (A2B/A2C),AR 30520,1490,66,90,09/84 → 12/86
1.5 4x4,AR 30182,1490,70,95,09/84 → 12/87
1.5 4x4 (A2F),AR 30520,1474,66,90,01/85 → 09/86
1.5 4x4 (A2),,1474,75,102,07/86 → 12/89
"1.5 4x4 (A2M,A2T)",AR 30588,1474,77,105,09/86 → 12/89
1.5 4x4 (A2U),AR 30146,1490,77,105,12/86 → 03/89
1.5 4x4,AR 30588,1490,75,102,12/86 → 12/89
"1.5 4x4 SP.W. (A2B,A2C)",AR 30520,1474,66,90,09/84 → 12/86
1.5 Q (A2A),AR 30504,1490,62,84,06/83 → 12/85
"1.5 QV (A,A2N,A2V)",AR 30588,1490,77,105,06/84 → 12/89
1.5 SP.W.,AR 30588,1490,77,105,12/86 → 12/89
1.5 i.e.,AR 30751,1490,71,97,01/90 → 09/94
1.7,,1717,95,129,01/86 → 12/89
1.7,,1717,87,118,01/86 → 12/89
1.7,AR 30550,1717,87,118,03/88 → 12/89
1.7 16V (A1C),,1712,97,132,01/90 → 03/92
1.7 16V (A1B),,1712,101,137,01/90 → 03/92
1.7 16V (A1C/B1G),AR 30747,1712,97,132,01/90 → 03/92
1.7 16V (A1C/B1G),AR 30747,1712,95,129,01/90 → 09/94
1.7 16V 4x4 (A1G),,1712,97,132,01/90 → 03/92
1.7 16V 4x4 (A1G/B1H),AR 30747,1712,97,132,01/90 → 03/92
1.7 16V 4x4,AR 30746,1712,101,137,01/90 → 03/92
1.7 16V 4x4 (A1G/B1H),AR 30747,1712,95,129,01/90 → 09/94
1.7 QV (A3),AR 30550,1712,84,114,03/88 → 12/89
1.7 i.e. (A3D),AR 30558,1712,77,105,09/88 → 12/89
1.7 i.e. (A1A/B1A),AR 30737 A,1712,79,107,01/90 → 03/92
1.7 i.e. (A1A/B1A),AR 30737 A,1712,77,105,04/92 → 09/94
1.7 i.e. 4x4 (B1E),"AR 30736, AR 30737",1712,79,107,01/90 → 09/94
1.7 i.e. 4x4 SP.W.,AR 30558,1700,77,105,09/88 → 12/89
1.8 TD,,1779,62,84,01/86 → 12/89
1.8 TD,,,54,74,11/86 → 12/89
1.8 TD,,1779,62,84,01/90 → 11/94
