Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2,AR 30104,1178,50,68,12/73 → 09/84
"1.2 (D0,D1)",AR 30102,1186,46,63,06/72 → 09/84
1.2 (D5),AR 30102 S,1186,44,60,03/80 → 09/84
1.3 (F0),AR 30180,1286,50,68,01/78 → 02/80
"1.3 SC,Ti Super",AR 30164,1351,55,76,09/77 → 09/84
1.3 Super (F2),AR 30160,1351,51,69,01/79 → 09/84
1.3 Ti (G0),AR 30184,1286,55,75,09/77 → 09/84
1.3 Ti (G4),AR 30168,1351,63,86,03/80 → 12/84
"1.5 Ti (F1,F4,G1)",AR 30124,1490,61,83,01/79 → 09/84
1.5 Ti,AR 30128,1490,70,95,03/80 → 12/84
1.5 Ti Sprint,AR 30146,1490,77,105,01/83 → 12/84
