Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
GT 1300 Junior (105),AR 00530,1290,64,87,01/66 → 12/77
GT 1600 (105),AR 00526 S,1570,75,102,03/63 → 12/66
GT 1600 (115),AR 00536,1570,80,109,06/71 → 12/77
GT 1600 (115),AR 00526 S,1570,76,103,09/72 → 12/77
GT 1600 (105),AR 00536,1570,80,109,01/66 → 12/68
GTA 1300 Junior (105),,1290,81,110,05/68 → 12/76
GTA 1300 Junior (105),,1290,117,160,05/68 → 12/76
GTA 1600 (105),,1570,83,113,01/65 → 12/70
GTV 1750 (105),AR 00548,1767,83,113,01/67 → 12/72
GTV 2000 (105),,1962,96,131,01/71 → 12/77
