Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 Twin Air Turbo,,875,63,85,01/12 →
0.9 Twin Air Turbo,,875,77,105,04/13 →
1.3 JTDM,,1248,62,84,01/11 →
1.3 JTDM 16V,,1248,66,90,01/09 → 10/09
1.3 JTDM 16V,,1248,70,95,11/09 → 12/18
1.4,,1242,51,69,05/11 →
1.4 16V,,1368,57,78,07/08 → 08/13
1.4 16V,,1368,70,95,07/08 → 08/13
1.4 Bifuel,198 A4.000,1368,88,120,04/16 →
1.4 TB,,1368,103,140,12/13 →
1.4 TB 16V,,1368,88,120,01/09 →
1.4 TB 16V,,1368,77,105,09/09 → 08/13
1.4 TB 16V,,1368,114,155,07/08 → 06/11
1.4 TB 16V Multiair,,1368,99,135,09/09 →
1.4 TB 16V Multiair,,1368,125,170,01/10 →
1.6 JTDM 16V,,1598,88,120,07/08 →
