Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,"JW, PH, 4B",1781,66,90,08/83 → 11/90
1.8,SH,1781,65,88,02/86 → 07/90
1.8,RS,1781,55,75,08/82 → 08/87
2.0,"RT, KP",1994,85,115,08/84 → 11/90
2.0,SL,1994,83,113,08/86 → 11/87
2.0 D,CN,1986,51,70,08/82 → 11/90
2.0 TD,DE,1986,64,87,08/82 → 02/88
2.0 TD,NC,1986,74,100,03/88 → 11/90
2.1,WC,2144,100,136,08/82 → 07/84
2.2,PX,2226,88,120,08/85 → 07/86
2.2,KU,2226,101,137,08/84 → 11/90
2.2,KZ,2226,85,115,10/84 → 09/86
2.2 Turbo,1B,2226,147,200,01/88 → 11/90
2.2 Turbo,MC,2226,121,165,08/86 → 11/90
2.2 Turbo,2B,2226,140,190,01/88 → 11/90
2.3,NF,2309,100,136,08/86 → 11/90
2.4 D,3D,2370,60,82,08/89 → 07/91
