Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 TD,"RA, SB",1588,59,80,04/87 → 09/91
1.8,DZ,1781,82,112,08/89 → 07/91
2.0,"ABK, PS, AAD, 3A",1984,85,115,07/88 → 01/97
2.0 16V,6A,1984,101,137,01/92 → 07/92
2.0 16V,ACE,1984,103,140,08/92 → 01/97
2.0 20V,NM,1994,118,160,08/89 → 07/91
2.2,KV,2229,100,136,04/87 → 07/91
2.2 Turbo (S2),3B,2226,162,220,09/90 → 09/92
2.2 Turbo (S2),ABY,2226,169,230,10/92 → 01/97
2.3,NG,2309,98,133,10/88 → 07/94
2.3 E 20 V,7A,2309,125,170,08/88 → 12/96
2.6 V6,ABC,2598,110,150,08/92 → 01/97
2.8 V6,AAH,2771,128,174,09/91 → 01/97
