Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,AEH/AKL/APF,1595,74,100,12/96 → 05/03
1.6,AVU/BFQ,1595,75,102,06/00 → 05/03
1.8 20V,AGN/APG,1781,92,125,09/96 → 05/03
1.8 20V Turbo,AGU/AQA/ARX/ARZ/AUM,1781,110,150,12/96 → 05/03
1.8 S3,AMK/APY,1781,154,210,03/99 → 09/01
1.8 S3,BAM,1781,165,225,09/01 → 05/03
1.8 T Quattro,AGU/AQA,1781,110,150,12/96 → 05/03
1.8 T Quattro 20V,AJQ/APP/ARY/AUQ,1781,132,180,10/98 → 05/03
1.9 TDI,AGR/ALH,1896,66,90,09/96 → 08/01
1.9 TDI,AHF/ASV,1896,81,110,11/96 → 08/01
1.9 TDI,ASZ,1896,96,130,06/00 → 05/03
1.9 TDI,ATD,1896,74,100,09/00 → 05/03
