Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6,ADP/AHL/ANA/ARM,1595,74,100,01/95 → 09/01
1.6,ALZ,1595,75,102,06/00 → 09/01
1.8 20V,ADR/APT/ARG,1781,92,125,01/95 → 09/01
1.8 20V,AFY,1784,85,115,04/95 → 09/01
1.8 20V Turbo,AEB/ANB/APU/ARK/AWT,1781,110,150,01/95 → 09/01
1.8 Turbo,AJL,1781,132,180,12/97 → 09/01
1.9 TDI,1Z/AHU/AHH,1896,66,90,01/95 → 09/01
1.9 TDI,AFN/AVG,1896,81,110,10/95 → 09/01
1.9 TDI,AFF,1896,55,75,03/96 → 09/01
1.9 TDI,AJM/ATJ,1896,85,115,04/99 → 09/01
2.4,"AJG, AMM, APZ",2393,120,163,08/97 → 09/01
2.4 30V,AGA/ALF/AJG,2393,121,165,03/97 → 09/01
2.4 30V,AML/APS/APZ/ARJ,2393,121,165,08/98 → 09/01
2.5 TDI V6,AFB/AKN,2496,110,150,10/97 → 09/01
2.6,ABC/ACZ,2598,110,150,01/95 → 09/01
2.7 RS4 quattro,ASJ/AZR,2671,280,380,06/00 → 09/01
2.7 S4 quattro,AGB,2671,195,265,09/97 → 09/01
2.8,AAH,2771,128,174,09/95 → 09/96
2.8 30V,ACK/ALG/APR/AQD/ATX,2771,142,193,10/96 → 09/01
