Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TFSI,CVNA,1395,110,150,05/15 → 11/19
2.0 TDI,DEUC,1968,90,122,04/16 → 11/19
2.0 TDI,DEUB,1968,100,136,05/15 → 11/19
2.0 TDI,"CZHA, DEUA",1968,110,150,08/15 → 11/19
2.0 TDI,DETB,1968,120,163,02/16 → 11/19
2.0 TDI,"DESA, DETA, DFVA",1968,140,190,05/15 → 09/20
2.0 TFSI,"CVKB, DBPA",1984,140,190,05/15 →
2.0 TFSI,CYRC,1984,183,249,05/15 → 11/19
2.0 TFSI (8W),DDWA,1984,185,252,11/18 → 11/19
2.0 TFSI,"CYMC, CYRB",1984,185,252,05/15 → 11/19
2.0 TFSI g-tron,CVLA,1984,125,170,11/16 → 10/19
3.0 TDI,CRTC,2967,200,272,05/15 → 08/18
3.0 TDI,CSWB,2967,160,218,05/15 → 08/18
3.0 TFSI RS4,DECA,2995,331,450,11/17 →
3.0 TFSI S4,CWGD,2995,260,355,06/16 → 11/19
30 TDI Mild Hybrid (8W),DEZB,1968,100,136,07/19 →
35 TDI Mild Hybrid (8W),DEZE,1968,120,163,03/19 →
35 TFSI (F5),DLVB,1984,110,150,12/18 →
40 TDI Mild Hybrid,DTPA,1968,150,204,05/20 →
40 TFSI (F5),"DKYA, DLVA, DEMA",1984,140,190,09/18 →
40 TFSI Mild Hybrid,DMSA,1984,150,204,06/20 →
45 TDI (8W),DCPE,2967,170,231,07/18 →
45 TFSI (F5),DKNA,1984,180,245,07/18 →
45 TFSI Mild Hybrid,DMTA,1984,195,265,08/20 →
50 TDI (8W),DCPC,2967,210,286,07/18 → 11/19
50 TDI Mild Hybrid (8W),DMGA,2967,210,286,08/20 →
S4 TDI Mild Hybrid,DEWB,2967,255,347,05/19 →
S4 TDI Mild Hybrid (8W),DMKC,2967,251,341,01/21 →
