Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 20V,ADR,1781,92,125,12/95 → 02/97
1.9 TDI,1Z,1896,66,90,06/94 → 02/97
2.0,AAE,1984,74,101,06/94 → 02/97
2.0,ADW,1984,79,107,06/94 → 07/95
2.0,ABK,1984,85,116,06/94 → 02/97
2.0 16V,ACE,1984,103,140,06/94 → 02/97
2.2 Turbo (S6),AAN,2226,169,230,06/94 → 07/97
2.3,AAR,2309,98,133,06/94 → 12/95
2.5 TDI,AAT,2461,85,115,06/94 → 02/97
2.5 TDI,AEL,2461,103,140,08/94 → 02/97
2.6 V6,ABC,2598,110,150,06/94 → 02/97
2.6 V6,ACZ,2598,102,139,06/94 → 02/97
2.8,AEJ,2771,120,163,06/94 → 07/96
2.8 V6,AAH,2771,128,174,06/94 → 02/97
2.8 V6 30V,ACK/ALG/APR/AQD,2771,142,193,12/95 → 02/97
4.2 V8 (S6+),AHK,4172,240,326,04/96 → 07/97
4.2 V8 (S6 4.2),AEC,4172,213,290,06/94 → 07/97
