Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
30 TDI Mild Hybrid (4A_/C8),DEZF,1968,100,136,01/19 →
35 TDI Mild Hybrid (4A),"DEZD, DTPB",1968,120,163,03/19 →
40 TDI Mild Hybrid 2.0 (4A),"DFBA, DTPA",1968,150,204,06/18 →
40 TDI e Mild Hybrid 2.0 (4A_/C8),DESA,1968,140,190,02/19 →
40 TFSI 2.0 (4A),DMTC,1984,150,204,09/20 →
40 TFSI Mild Hybrid 2.0 (4A),DMTC,1984,150,204,08/20 →
45 TDI Mild Hybrid 3.0 quattro (4A),DDVE,2967,170,231,06/18 →
45 TDI Mild Hybrid 3.0 quattro (4A),DDVF,2967,155,211,07/18 →
45 TDI Mild Hybrid 3.0 quattro (4A),,2967,180,245,12/20 →
45 TDI e Mild Hybrid 3.0 (4A_/C8),CVMD,2967,183,249,07/19 →
45 TFSI Mild Hybrid 2.0 quattro (4A),"DKNA, DLHA",1984,180,245,08/18 →
45 TFSI Mild Hybrid 2.0 quattro (4A),DMTA,1984,195,265,05/20 →
50 TDI Mild Hybrid 3.0 quattro (4A),DDVB,2967,210,286,06/18 →
50 TFSI Mild Hybrid 2.0 (4A_/C8),DRYA,1984,195,265,07/21 →
50 TFSI e 2.0 (4A),"DLGA, DRYA",1984,220,299,11/19 →
55 TDI Mild Hybrid 3.0 quattro (4A),DEWA,2967,257,349,03/19 →
55 TFSI Mild Hybrid 3.0 (4A),DLZA,2995,250,340,06/18 →
55 TFSI e 2.0 (4A),DLGA,1984,185,252,11/19 →
55 TFSI e 2.0 (4A),"DLGA, DRYA",1984,270,367,11/19 →
RS6 Mild Hybrid (4A_/C8),DJPB,3996,441,600,09/19 →
RS6 Mild Hybrid (4A_/C8),DYGA,3996,463,630,01/23 →
S6 TDI (4A),DMKD,2967,253,345,11/20 →
S6 TDI Mild Hybrid 3.0 quattro (4A),DEWA,2967,257,349,03/19 →
