Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8,AFY,1781,85,116,05/97 → 05/05
1.8,AJP/AQE/ARH,1781,92,125,07/97 → 06/01
1.8 T,AEB/ANB/APU/ARK/AWL/AWT,1781,110,150,01/97 → 05/05
1.8 T,AJL,1781,132,180,12/97 → 10/00
1.9 TDI,AFN/AVG,1896,81,110,02/97 → 05/01
1.9 TDI,AJM,1896,85,115,11/00 → 06/01
1.9 TDI,AWX,1896,96,130,05/01 → 05/05
2.0 20V,ALT,1984,96,130,05/01 → 05/05
2.4,APC,2393,115,156,02/97 → 05/05
2.4,"AJG, AMM, APZ",2393,120,163,02/97 → 05/05
2.4 30V,APS/APZ/ARJ/ARN/AMC,2393,121,165,02/97 → 06/01
2.4 30V,AGA/AJG/ALF/AML,2393,121,165,02/97 → 06/01
2.4 30V,ALW,2393,100,136,07/98 → 06/01
2.4 30V,BDV,2393,125,170,05/01 → 05/05
2.5 TDI V6,AFB/AKN,2496,110,150,07/97 → 06/01
2.5 TDI V6,"AKE, BAU, BDH",2496,132,180,07/99 → 05/05
2.5 TDI V6,AYM,2496,114,155,05/01 → 08/02
2.5 TDI V6,"BCZ, BDG, BFC",2496,120,163,07/02 → 05/05
2.7 T V6,AJK/AZA,2671,169,230,12/97 → 06/01
2.7 T V6,"ARE, BES",2671,184,251,05/01 → 05/05
2.8 30V,ACK/ALG/APR/AQD,2771,142,193,02/97 → 06/01
2.8 V6,AGE,2771,132,180,10/97 → 07/98
2.8 V6,ATX,2771,140,190,07/99 → 06/01
3.0 V6,"ASN, BBJ",2976,162,220,05/01 → 05/05
3.7,AQG,,191,260,06/99 → 05/05
4.2 V8 (S6),AQJ,4172,250,340,07/99 → 05/05
4.2 V8,ARS/ART/ASG/AWN,4172,220,300,05/99 → 05/05
4.2 V8 RS6,BCY,4172,331,450,06/02 → 10/04
4.2 V8 RS6 Plus,BRV,4172,352,480,04/04 → 10/04
