Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 Hybrid (4H),CHJA,1984,195,265,06/12 → 11/15
2.0 TFSI (4H),CYPA,1984,185,252,09/16 → 01/18
2.5 TFSI (4H),CPAA,2496,150,204,09/12 → 06/16
3.0 TDI (4H),CLAB,2967,150,204,05/11 → 09/13
3.0 TDI (4H),"CDTB, CTBB",2967,155,211,08/10 → 11/15
3.0 TDI (4H),CPNA,2967,176,239,11/12 → 06/16
3.0 TDI (4H),"CDTA, CDTC, CMHA",2967,184,250,07/10 → 01/18
3.0 TDI (4H),CTBA,2967,190,258,10/13 → 01/18
3.0 TDI (4H),CTBD,2967,193,262,05/15 → 01/18
3.0 TFSI (4H),"CGWA, CGWX, CGXA, CREG",2995,213,290,07/10 → 04/14
3.0 TFSI (4H),"CGWD, CREA",2995,228,310,11/11 → 01/18
3.0 TFSI (4H),"CMDA, CGXC, CREC, CTDA, CTUB",2995,245,333,06/10 → 01/18
4.0 TFSI (4H),CEUA,3996,309,420,04/12 → 12/15
4.0 S8 (4H),"CGTA, CTFA",3996,382,520,05/12 → 01/18
4.0 S8 (4H),DDTA,3993,445,605,11/15 → 01/18
4.0 TFSI (4H),CTGA,3996,320,435,10/13 → 01/18
4.2 FSI (4H),CDRA,4163,273,372,03/10 → 12/12
4.2 TDI (4H),CDSB,4134,258,350,03/10 → 04/14
4.2 TDI (4H),CTEC,4134,283,385,10/13 → 01/18
6.3 FSI (4H),"CEJA, CTNA",6276,368,500,09/10 → 01/18
