Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.0, 30 TFSI (GA)","CHZJ, DKRF",999,85,115,09/16 →
1.4 TFSI (GA),CZEA,1395,110,150,07/16 →
"1.5, 35 TFSI (GA)","DADA, DPCA",1498,110,150,09/18 →
"1.6 TDI, 30 TDI (GA)",DDYA,1598,85,116,07/16 → 10/18
2.0 TDI (GA),DFHA,1968,140,190,09/16 →
2.0 TDI (GA),CRFC,1968,105,143,09/16 →
"2.0 TDI, 35 TDI (GA)","DCYA, DFGA",1968,110,150,09/16 →
"2.0, 40 TFSI (GA)","CZPB, DKZA",1984,140,190,05/17 →
30 TDI (GA),"DTRB, DTRD",1968,85,115,04/21 →
30 TFSI,DLAA,999,81,110,08/20 →
SQ2 TFSI (GAB),DNUE,1984,221,300,08/18 →
