Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 TFSI (8U),CZDB,1395,92,125,07/16 → 10/18
1.4 TFSI (8U),"CHPB, CZDA, CZEA",1395,110,150,10/13 → 10/18
2.0 TDI (8U),"CFGC, CLLB",1968,130,177,09/11 → 10/18
2.0 TDI (8U),CFGD,1968,120,163,09/11 → 04/15
2.0 TDI (8U),CLJA,1968,103,140,03/15 →
2.0 TDI (8U),CFFA,1968,100,136,09/11 → 10/18
2.0 TDI (8U),"CUVC, DFTA",1968,110,150,11/14 → 10/18
2.0 TDI (8U),"CUWA, CYLA",1968,135,184,11/14 → 10/18
2.0 TDI (8U),CFFB,1968,103,140,09/11 → 10/18
2.0 TDI (8U),CUVD,1968,88,120,03/15 → 10/18
2.0 TFSI (8U),CULC,1984,162,220,11/14 → 10/18
2.0 TFSI (8U),CULB,1984,132,179,11/14 → 10/18
2.0 TFSI (8U),CPSA,1984,155,211,09/11 → 04/15
2.0 TFSI (8U),CCZC,1984,125,170,09/11 → 04/15
2.0 TFSI (8U),CCTA,1984,147,200,04/14 → 10/18
2.5 RS TFSI (8U),CZGA,2480,250,340,05/13 → 10/18
2.5 RS TFSI (8U),CTSA,2480,228,310,05/13 → 10/18
2.5 RS TFSI (8U),CZGB,2480,270,367,01/15 → 10/18
