Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 TDI quattro (8R),"CJCD , CSUA",1968,110,150,05/13 → 05/17
2.0 TDI quattro (8R),"CAGB, CJCB, CSUB",1968,100,136,09/09 → 05/17
2.0 TDI quattro (8R),CNHA,1968,140,190,11/13 → 05/17
2.0 TDI quattro (8R),"CGLC, CMGB",1968,130,177,06/12 → 05/17
2.0 TDI quattro (8R),"CAGA, CJCA",1968,105,143,09/09 → 05/13
2.0 TDI quattro (8R),"CAHA, CGLB, CMGA",1968,125,170,11/08 → 09/12
2.0 TDI quattro (8R),"CAHB, CGLA, CGLD, CNHC",1968,120,163,11/08 → 05/17
2.0 TFSI quattro (8R),"CDNA, CDNB, CNCB",1984,132,180,09/09 → 05/17
2.0 TFSI quattro (8R),CNCE,1984,169,230,08/15 → 05/17
2.0 TFSI quattro (8R),CNCD,1984,165,225,06/12 → 05/16
2.0 TFSI quattro (8R),CPMB,1984,162,220,05/13 → 05/17
"2.0 TFSI, Hybrid quattro (8R)","CDNC, CAEB",1984,155,211,11/08 → 06/16
"2.0 TFSI, Hybrid quattro (8R)",CHJA,1984,180,245,06/11 → 06/16
3.0 TDI quattro (8R),CTBC,2967,184,250,06/12 → 05/17
3.0 TDI quattro (8R),CPNB,2967,176,239,05/13 →
3.0 TDI quattro (8R),CCWA,2967,176,240,11/08 → 05/17
3.0 TDI quattro (8R),CCWB,2967,155,211,11/08 → 09/12
3.0 TDI quattro (8R),CDUD,2967,180,245,06/12 → 05/17
3.0 TDI quattro (8R),CTBA,2967,190,258,06/12 → 05/17
3.0 TDI quattro SQ5 (8R),DEHA,2967,250,340,11/15 → 05/17
3.0 TDI quattro SQ5 (8R),CVUB,2967,240,326,06/13 → 05/17
3.0 TDI quattro SQ5 (8R),CGQB,2967,230,313,11/12 → 11/15
3.0 TFSI quattro (8R),"CTUC, CTVA",2995,200,272,06/12 → 05/17
3.0 TFSI quattro SQ5 (8R),"CTUD, CTXA",2995,260,353,05/13 → 05/17
3.2 FSI quattro (8R),CALB,3197,199,270,11/08 → 12/12
