Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 TDI (FY),DEUA,1968,110,150,01/17 →
2.0 TDI (FY),DEUB,1968,100,136,09/16 →
"2.0 TDI, 35 TDI (FY)",DETB,1968,120,163,09/16 → 08/18
"2.0 TDI, 40 TDI (FY)","DESA, DETA",1968,140,190,09/16 → 08/18
2.0 TFSI (FY),DAXC,1984,183,249,09/16 →
2.0 TFSI (FY),"DAXB, DAYB",1984,185,252,09/16 →
2.0 TFSI / 45 TFSI (FY),DNTA,1984,180,245,08/18 →
3.0 TDI (FY),DCPC,2967,210,286,09/17 →
3.0 TDI SQ5 Mild Hybrid,DEWB,2967,255,347,02/19 → 11/20
3.0 TFSI SQ5 (FY),CWGD,2995,260,355,11/16 →
30 TDI Mild Hybrid (FYB),DEZB,1968,100,136,01/19 →
35 TDI Mild Hybrid (FYB),DEZE,1968,120,163,11/19 →
40 TDI Mild Hybrid (FYB),"DFBA, DTPA",1968,150,204,11/19 →
40 TFSI Mild Hybrid (FY),DMSA,1984,150,204,10/21 →
45 TDI (FY),DCPE,2967,170,231,08/18 →
45 TFSI Mild Hybrid (FY),"DPUA, DPVA",1984,195,265,08/20 →
50 TDI Mild Hybrid (FYB),DMGA,2967,210,286,06/20 →
50 TFSI e quattro (FYB),DLGA,1984,270,367,04/19 →
50 TFSI e quattro (FYB),"DLGA, DRYA",1984,220,299,04/19 →
55 TFSI e quattro (FYB),"DLGA, DRYA",1984,270,367,08/19 →
SQ5 TDI (FYB),DMKC,2967,251,341,01/21 →
