Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 TDI V6 quattro (4L),"CJGC, CJMA",2967,150,204,05/10 → 08/15
3.0 TDI V6 quattro (4L),"BUN, CASB",2967,155,211,03/06 → 07/10
3.0 TDI V6 quattro (4L),BUG,2967,171,232,03/06 → 07/08
3.0 TDI V6 quattro (4L),CATA,2967,165,224,06/09 → 05/12
3.0 TDI V6 quattro (4L),"CASA, CCMA, CJGA, CNRB",2967,176,240,11/07 → 08/15
3.0 TDI V6 quattro (4L),"CJGD, CLZB, CRCA",2967,180,245,05/11 → 08/15
3.0 TFSI quattro (4L),"CJTC, CJWC",2995,200,272,05/10 → 08/15
3.0 TFSI quattro (4L),CJWE,2995,206,280,05/11 → 08/15
3.0 TFSI quattro (4L),"CJWB, CNAA, CJTB",2995,245,333,05/10 → 08/15
3.6 FSI quattro (4L),BHK,3597,206,280,09/06 → 07/10
4.2 FSI V8 quattro (4L),BAR,,257,350,03/06 → 07/10
4.2 TDI V8 quattro (4L),BTR,4134,240,326,03/07 → 05/09
4.2 TDI V8 quattro (4L),"CCFA, CCFC",4134,250,340,06/09 → 08/15
6.0 TDI V12 quattro (4L),CCGA,5934,368,500,10/08 → 05/14
