Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
218 d (F22),N47D20C,1995,105,143,02/14 → 06/15
218 d (F23),B47D20A,1995,110,150,07/15 →
218i (F22),B38B15A,1499,100,136,03/15 →
218i (F23),B48B20A,1998,100,136,11/20 →
"220 d (F22, F23)",N47D20C,1995,135,184,02/14 → 11/14
"220 d (F22, F23)",B47D20,1995,140,190,11/14 →
"220 d (F22, F23)",B47D20A,1995,151,205,03/14 →
"220i (F22, F23)",N20B20A,1997,135,184,02/14 → 07/16
"220i (F22, F23)",B48B20A,1998,135,184,06/16 →
225 d (F22),N47D20D,1995,160,218,02/14 →
225 d (F23),B47D20B,1995,165,224,07/15 →
"228i (F22, F23)","N20 B20 A, N26 B20 A",1997,180,245,02/14 →
"230i (F22, F23)",B48B20B,1998,185,252,06/16 →
M2 (F87),N55B30A,2979,272,370,01/16 → 06/18
M2 CS (F87),S55 B30 A,2979,331,450,11/19 →
M2 Competition (F87),S55 B30 A,2979,302,411,06/18 →
"M235i (F22, F23)",N55B30A,2979,240,326,02/14 →
"M240i (F22, F23)",B58B30A,2998,250,340,06/16 →
