Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
316 d (E90),N47 D20A/C,1995,85,116,09/09 → 06/12
316i (E90/E92),N45N B16A,1596,95,129,03/07 →
316i (E90/E92),N43 B16A,1596,90,122,09/07 → 06/13
316i (E90/E92),"N45 B16/B16A, N45N B16A",1596,85,116,02/06 → 10/11
318 d (E90/E91),M47 D20,1995,90,122,09/05 → 08/07
318 d (E90/E91),N47 D20A/C,1995,105,143,09/07 → 06/12
318i (E90/E91),"N43 B20A, N46 B20A/B",1995,105,143,09/07 → 12/13
318i (E90/E91),N46 B20,1995,95,129,09/05 → 08/07
320 d (E90/E91),"M47 D20/N2, N47D20A, N47D20C",1995,120,163,03/05 → 12/13
320 d (E90/E91/E92/E93),N47 D20C,1995,135,184,03/10 → 10/13
320 d (E90/E91/E92/E93),"N47 D20A, N47 D20C",1995,130,177,03/07 → 02/10
320 d Efficient Dynamics (E90/E91/E92/E93),N47 D20C,1995,120,163,03/10 → 06/13
320 xd (E92),N47 D20 C,1995,145,197,03/08 → 02/10
320i (E90/E91/E92/E93),"N46 B20A/B, N43 B20A",1995,125,170,09/06 → 12/13
320i,,1995,115,156,04/08 →
320i (E90/E91),N46 B20,1995,110,150,03/05 → 08/06
320i (E90/E91/E92/E93),,1995,110,150,11/06 → 08/13
320si (E90/E91),N45 B20A,1995,127,173,12/05 → 08/06
323i (E90/E91/E93),N52 B25,2497,140,190,09/06 → 02/12
323i (E90/E91),N52 B25,2497,127,173,09/06 → 12/11
325 d (E90/E91/E92/E93),M57 D30,2993,145,197,09/06 → 06/12
325 d (E90/E91/E92/E93),N57D 30A,2993,150,204,03/10 → 12/13
325i (E90/E91/E92/E93),"N52 B25, N53 B30, N53 B30A",,160,218,03/05 → 12/13
325xi (E90/E91/E92),"N52 B25, N53 B30, N53 B30A",,160,218,03/05 → 06/13
328i (E90/E91/E92),N51/N52B30 / N51B30A / N52B30A,2996,169,230,09/06 → 12/13
330 d (E90/E91/E92/E93),M57 D30,2993,155,211,09/05 → 12/11
330 d (E90/E91/E92/E93),M57 D30,2993,170,231,09/05 → 09/08
330 d (E90/E91/E92/E93),N57 D30,2993,180,245,09/08 → 12/13
330i (E90/E91),N52 B30,2996,190,258,03/05 → 08/06
330i (E90/E91/E92/E93),N53 B30A,2996,200,272,09/06 → 10/13
330xi (E90/E91/E92),N53 B30A,2996,190,258,03/05 → 06/12
330xi (E90/E91/E92),N53 B30A,2996,200,272,09/07 → 02/10
335 d (E90/E91/E92),M57 D30 N2,2993,210,286,09/06 → 03/13
"335 xi (E91, E92, E93)",N54 B30A,2979,240,326,09/06 → 06/13
335i (E90/E91/E92/E93),"N54 B30A, N55 B30A",2979,225,306,09/06 → 12/13
335is (E92/E93),N54 B30A,2979,240,326,05/10 → 06/13
M3 4.0 V8 (E90/E92/E93),S65 B40A,3999,309,420,06/07 → 12/13
M3 4.4 CRT (E90),S65 B44 A,4361,331,450,09/11 → 12/11
