Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
318 d Gran Tourismo (F34),N47D20C,1995,105,143,05/13 →
318 d Gran Tourismo (F34),B47D20A,1995,110,150,07/15 →
320 d Gran Tourismo (F34),N47D20C,1995,135,184,05/13 → 06/15
320 d Gran Tourismo (F34),B47D20A,1995,140,190,07/15 →
320i Gran Tourismo (F34),"N20B20A,N20B20B",1997,135,184,05/13 → 06/16
320i Gran Tourismo (F34),B48B20A,1998,135,184,06/16 →
320i Gran Tourismo xDrive (F34),B48B20A,1998,120,163,06/16 →
325 d Gran Tourismo (F34),N47D20D,1995,160,218,05/13 → 06/16
325 d Gran Tourismo (F34),B47D20B,1995,165,224,06/16 → 02/18
328i Gran Tourismo (F34),N20B20A,1997,180,245,05/13 → 06/16
330 d Gran Tourismo (F34),N57D30A,2993,190,258,01/14 →
330i Gran Tourismo (F34),B48B20B,1998,185,252,06/16 →
335 dX Gran Tourismo (F34),N57D30B,2993,230,313,01/14 →
335i Gran Tourismo (F34),"N55B30A, N54B30A",2979,225,306,05/13 → 06/16
340i Gran Tourismo (F34),B58B30A,2998,240,326,06/16 →
