Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 CSL (G82),S58 B30 B,2993,412,560,11/22 → 02/23
420 d Mild-Hybrid (G22),B47 D20 B,1995,120,163,07/20 →
"420 d Mild-Hybrid (G22, G23, G26, G82, G83)",B47 D20 B,1995,140,190,07/20 →
"420 i (G22, G23, G26, G82, G83)","B46 B20 B, B48 B20 A",1998,135,184,07/20 →
"430 d Mild-Hybrid (G22, G23)","B57 D30 B, JA1",2993,210,286,03/21 →
"430 i (G22, G23, G26, G82, G83)","B46 B20 B, B48 B20 B",1998,190,258,07/20 →
"430 i (G22, G23, G26, G82, G83)","B46 B20 B, B48 B20 B",1998,180,245,07/21 →
"M 440 i Mild-Hybrid (G22, G23, G26, G82, G83)","B 58 B30 B, JA1",2998,285,387,07/20 →
"M 440 i Mild-Hybrid (G22, G23, G26, G82, G83)","B 58 B30 B, JA1",2998,275,374,11/20 →
M4 (G82),S58 B30A,2993,353,480,11/20 →
M4 CSL (G82),S58 B30A,2993,405,551,05/22 →
M4 Competition (G82),S58 B30A,2993,375,510,11/20 →
"M440 d Mild-Hybrid (G22, G23)","B57 D30 B, JA1",2993,250,340,03/21 →
