Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
520 d (E39),M 47 D 20,1951,100,136,02/00 → 06/03
520i (E39),M 52 B 20,1991,110,150,01/96 → 09/00
520i (E39),M 52/54 B 22,2171,125,170,09/00 → 07/04
523i (E39),M 52 B 25,2494,125,170,11/95 → 09/00
525 d (E39),M 57 D 25,2497,120,163,02/00 → 07/04
525 td (E39),M 51 D 25,2497,85,116,01/97 → 04/00
525 tds (E39),M 51 D 25,2498,105,143,01/96 → 04/00
525i (E39),M 54 B 25,2494,141,192,08/00 → 07/04
528i (E39),M 52 B 28,2793,142,193,11/95 → 09/00
530 d (E39),M 57 D 30,2926,135,184,09/98 → 08/00
530 d (E39),M 57 D 30,2926,142,193,09/00 → 07/04
530i (E39),M 54 B 30,2979,170,232,08/00 → 07/04
535i (E39),M 62 B 35,3498,173,235,04/96 → 06/99
535i (E39),M 62 B 35,3498,180,245,04/99 → 07/04
540i (E39),M 62 B 44,4398,210,286,04/96 → 07/04
M5 4.9 (E39),S 62 B 49,4941,294,400,10/98 → 07/04
