Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
520 d (E60/61),N47 D20A,1995,130,177,09/07 → 12/10
520 d Editon Fleet (E60/61),M47 D20,1995,110,150,09/05 → 09/07
"520 d, 520 d Edition Fleet (E60/61)","M47 D20, N47 D20A/C",1995,120,163,09/05 → 12/10
520i (E60/61),M 52/54 B 22,2171,125,170,07/03 → 04/05
520i (E60/61),N 43/46 B 20,1996,125,170,09/07 → 12/10
523i (E60/61),N 52 B 25,2497,130,177,04/05 → 02/07
523i (E60/61),N 53 B 25,2497,140,190,03/07 → 12/10
525 d (E60/61),M 57 D 25,2497,130,177,03/04 → 02/07
525 d (E60/61),M 57 D 25,2497,145,197,03/07 → 12/10
525i (E60/61),M 52/54 B 25,2494,141,192,09/03 → 04/05
525i (E60/61),"N 52 B30, N 53 B30",2996,155,211,03/07 → 12/10
525i (E60/61),N 52 B 25,2497,160,218,04/05 → 12/10
530 d (E60/61),M 57 D 30,2993,160,218,07/03 → 10/05
530 d (E60/61),M 57 D 30,2993,170,231,09/05 → 02/07
530 d (E60/61),M 57 D 30,2993,173,235,03/07 → 12/10
530i (E60/61),M 54 B 30,2979,170,231,07/03 → 04/05
530i (E60/61),N 52 B 30,2996,190,258,04/05 → 02/07
530i (E60/61),N 53 B 30,2996,200,272,03/07 → 12/10
530xi (E60/61),"N 52 B30 A, N53 B 30 A",2996,200,272,09/06 → 10/09
535 d (E60/61),M 57 D 30,2993,200,272,09/04 → 02/07
535 d (E60/61),M 57 D 30,2993,210,286,03/07 → 12/10
535i (E60/61),N 54 B 30A,2979,224,300,09/07 → 12/10
540i (E60),N 62 B 40,3998,225,306,09/05 → 12/10
545i (E60/61),N 62 B 44,4398,245,333,09/03 → 10/05
550i (E60/61),N 62 B 48,4799,270,367,09/05 → 12/10
M5 (E60/61),S 85 B 50,4999,373,507,09/04 → 08/10
