Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
518 d (F10/F11),"N47 D20C, B47 D20 A",1995,100,136,06/13 → 02/17
518 d (F10/F11),B47 D20A,1995,110,150,07/14 → 02/17
518 d (F10/F11),N47 D20C,1995,105,143,06/13 → 06/14
520 d (F10/F11),"N47 D20C, B47 D20 A",1995,120,163,05/10 → 02/17
520 d (F10/F11),B47 D20,1995,140,190,07/14 → 02/17
520 d (F10/F11),N47 D20C,1995,100,136,01/13 → 06/14
520 d (F10/F11),N47 D20C,1995,135,184,06/10 → 06/14
"520i (F10, F18)",N20 B16 A,1592,125,170,11/15 → 10/16
520i (F10/F11),N20 B20A,1997,135,184,09/11 → 02/17
520i (F10),N20 B16A,1592,135,184,08/13 → 02/17
520i (F10/F11),N20 B20A,1997,120,163,09/11 → 02/17
523 Li (F18),N52 B25A,2497,115,156,06/10 → 08/11
523i (F10/F11),"N52B30A, N53B30A",2996,150,204,03/10 → 08/11
525 Li (F18),N52 B25A,2497,160,218,06/10 → 02/17
525 d 2.0 (F10/F11),N47 D20D,1995,160,218,09/11 → 02/17
525 d 2.0 (F10/F11),"N47 D20D, B47 D20 A",1995,155,211,09/11 → 02/17
525 d 3.0 (F10/F11),N57 D30A,2993,150,204,03/10 → 09/11
528i 2.0 (F10/F11),N20 B20A,1997,180,245,09/11 → 02/17
528i 3.0 (F10/F11),"N52B30A, N53B30A",2996,190,258,03/10 → 08/11
528i xDrive (F10/F11),N20 B20A,1997,180,245,09/11 → 02/17
530 Li (F18),N52 B30A,2996,190,258,06/10 → 02/17
530 d (F10/F11),N57 D30A,2993,180,245,03/10 → 08/11
530 d (F10/F11),N57 D30A,2993,190,258,07/10 → 02/17
"530 i (F10, F11)","N52 B30A, B52 B30AF, N52 B30BF",2996,190,258,06/09 → 06/13
530i (F10/F11),N53B30A,2996,200,272,09/11 → 06/13
535 Li (F18),N55 B30A,2996,225,306,03/10 → 02/17
535 d (F10/F11),N57 D30B,2993,230,313,09/11 → 02/17
535 d (F10/F11),N57 D30B,2993,220,300,09/10 → 08/11
535i (F10/F11),N55 B30A,2979,225,306,03/10 → 02/17
550i (F10/F11),N63 B44A,4395,300,407,03/10 → 06/13
550i (F10/F11),N63 B44B,4395,330,449,05/13 → 10/16
ActiveHybrid 5 (F10/F11),N55 B30A,2979,250,340,10/11 → 10/16
M5 (F10),S63 B44B,4395,412,560,09/11 → 10/16
M5 (F10),S63 B44B,4395,441,600,07/14 → 10/16
M550 d (F10/F11),N57 D30C,2993,280,381,03/12 → 02/17
