Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"518d (G30, G31, F90)",B47D20B,1995,100,136,07/18 →
"518d (G30, G31, F90)",B47D20B,1995,110,150,07/18 →
"518d Mild-Hybrid (G30, F90)","B47D20B, JA1",1995,100,136,07/20 →
"518d Mild-Hybrid (G30, F90)","B47D20B, JA1",1995,110,150,11/20 →
"520d (G30, G31, F90)",B47D20A,1995,120,163,03/17 → 10/19
"520d (G30, G31)","B47D20A, B47D20B",1995,140,190,11/16 → 10/19
520d Mild-Hybrid (G31),"B47D20B, JA1",1995,120,163,11/19 →
520d Mild-Hybrid (G31),"B47D20B, JA1",1995,140,190,11/19 →
"520e Plug-in-Hybrid (G30, F90)","B48B20A, GC1",1998,150,204,03/21 →
"520i (G30, G31)",B48B20A,1998,135,184,07/17 →
"520i (G30, G31)",B48B20A,1998,155,211,07/17 →
"520i (G30, G31, F90)",B48B20A,1998,120,163,07/17 →
"520i (G30, F90)",B48B16A,1597,125,170,07/17 →
520i Mild-Hybrid (G31),"B48B20A, JA1",1998,135,184,07/20 →
520i Mild-Hybrid (G31),"B48B20A, JA1",1998,120,163,07/20 →
"520i Mild-Hybrid (G30, F90)","B48B20A, JA1",1998,120,163,07/20 →
"525d (G30, G31)",B47D20B,1995,170,231,07/17 →
525d (G31),B47D20B,1995,155,211,07/17 →
"530d (G30, G31)",B57D30A,2993,195,265,11/16 →
"530d (G30, G31, F90)",B57D30A,2993,183,249,09/16 →
530d Mild-Hybrid (G30),"B57D30B, JA1",2993,183,249,11/20 →
"530d Mild-Hybrid (G30, G31, F90)",B57 D30 B,2993,210,286,07/20 →
530e (G30),"B48B20A, B48B20B",1998,185,252,02/17 →
"530e (G30, G31)","B48B20A, GC1",1998,200,272,07/20 →
"530e (G30, F90)",B48B20A,1998,170,231,07/19 →
"530e (G30, G31)","B48B20A, B48B20B, GC1",1998,215,292,07/20 →
"530i (G30, G31)",B48B20B,1998,185,252,11/16 →
"530i (G30, G31)","B46B20B, B48B20B",1998,180,245,05/22 →
"530i Mild-Hybrid (G30, G31)",B48B20B,1998,180,245,07/22 →
"530i Mild-Hybrid (G30, G31)",B48B20B,1998,185,252,07/20 →
"540d (G30, G31)",B57D30B,2993,235,320,07/17 →
"540d Mild-Hybrid (G30, G31)",B57D30B,2993,250,340,07/20 →
"540i (G30, G31)",B58B30A,2998,250,340,11/16 →
"540i (G30, G31, F90)",B58B30A,2998,265,360,03/17 →
"540i Mild-Hybrid (G30, G31, F90)",B58B30C,2998,245,333,07/20 →
545e (G30),"B58B30C, GC1",2998,290,394,11/20 →
"M 550 i xDrive (G30, F90)",N63 B44 D,4395,390,530,07/19 →
"M 550dX (G30, G31)",B57D30C,2993,294,400,11/17 →
M 550i (G30),N63B44C,4395,340,462,03/17 →
M5 (F90),S63B44B,4395,441,600,12/17 →
M5 CS (F90),S63B44B,4395,467,635,04/21 →
