Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
520 d (F07GT),N47 D20 C,1995,120,163,03/10 → 06/13
520 d (F07GT),N47 D20 C,1995,135,184,07/12 → 02/17
528i (F07GT),N20 B20A,1997,180,245,07/13 → 02/17
530 d (F07GT),N57 D30A,2993,190,258,06/12 → 02/17
530 d (F07GT),N57 D30A,2993,180,245,10/09 → 06/12
530 d (F07GT),N57 D30A,2993,155,211,09/10 → 02/17
535 d (F07GT),N57 D30B,2993,220,300,03/10 → 06/12
535 d (F07GT),N57 D30B,2993,230,313,06/12 → 02/17
535i (F07GT),N55 B30A,2979,225,306,10/09 → 02/17
550i (F07GT),N63 B44B,4395,330,449,05/12 → 02/17
550i (F07GT),N63 B44A,4395,300,407,10/09 → 02/17
