Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
730 d (F01/F02),N57 D30A,2993,190,258,08/12 → 05/15
730 d (F01/F02/F03/F04),N57 D30A,2993,155,211,11/11 → 05/15
730 d (F01/F02),N57 D30A,2993,180,245,10/08 → 05/15
730i (F01/F02),"N52 B30A, N52 B30BF",2996,200,272,09/09 → 06/15
740 d (F01),N57 D30B,2993,225,306,10/09 → 12/12
"740 d (F01, F02)",N57 D30B,2993,230,313,08/12 → 06/15
740i (F01/F02),N54 B30A,2979,240,326,10/08 → 06/12
740i (F01/F02),N55 B30A,2979,235,320,06/12 → 12/15
750 d (F01/F02),N57 D30C,2993,280,381,06/12 → 12/15
750i (F01/F02),N63 B44A,4395,300,407,10/08 → 06/12
750i (F01/F02),N63 B44B,4395,330,449,06/12 → 06/15
760i (F01/F02/F03),N74 B60A,5972,400,544,10/09 → 12/15
ActiveHybrid 7 (F01/F02/F04),N55 B30A,2979,260,354,06/12 → 06/15
ActiveHybrid 7 (F01/F02/F04),N63 B44A,4395,342,465,03/10 → 06/12
