Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
725d (G11/G12),B47D20B,1995,170,231,06/16 → 02/19
"725d, 725Ld (G11/G12)",B47D20B,1995,155,211,07/17 → 02/19
730d (G11/G12),B57D30A,2993,155,211,07/15 → 06/20
730d (G11/G12),B57D30A,2993,195,265,09/15 → 06/20
"730d, 730 Ld (G11/G12)",B57D30A,2993,183,249,09/15 → 06/20
"730d, 730 Ld Mild-Hybrid (G11/G12)","B57D30B, JA1",2993,155,211,07/20 →
"730d, 730 Ld Mild-Hybrid (G11/G12)","B57D30B, JA1",2993,183,249,07/20 →
"730d, 730 Ld Mild-Hybrid (G11/G12)","B57D30B, JA1",2993,210,286,07/20 →
730i (G11/G12),B48B20B,1998,183,249,11/15 →
"730i, 730 Li (G11/G12)",B48B20B,1998,190,258,11/15 → 02/19
"730i, 730 Li (G11/G12)",B48B20B,1998,195,265,03/19 →
740d (G11/G12),B57D30B,2993,235,320,06/15 →
"740d, 740Ld Mild-Hybrid (G11/G12)","B57D30B, JA1",2993,250,340,07/20 →
740e (G11/G12),B48B20B,1998,240,326,05/16 → 02/19
"740i, 740Li (G11/G12)","B58B30A, B58B30C",2998,240,326,06/15 → 02/19
"740i, 740Li (G11/G12)",B58B30C,2998,245,333,03/19 →
"745e, 745Le (G11/G12)",B58B30C,2998,290,394,03/19 →
750Li (G11/G12),,4395,390,530,03/19 →
750d (G11/G12),B57D30C,2993,294,400,06/16 →
750i (G11/G12),N63B44C,4395,330,449,06/15 → 02/19
M 760 Li (G12),N74B66B,6592,448,609,07/16 → 02/19
M 760 Li xDrive (G12),N47B66C,6592,430,585,03/19 →
