Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
16d (F48),B37C15A,1496,85,116,06/15 →
18d (F48),B47C20A,1995,110,150,06/15 →
18i (F48),B38A15A,1499,100,136,06/15 → 02/18
18i (F48),B38A15A,1499,103,140,07/17 →
20d (F48),"B47C20A, B47C20B",1995,140,190,06/15 →
20i (F48),B48A20A. B48A20F,1998,131,178,11/20 →
20i (F48),B48A20A. B48A20F,1998,141,192,06/15 →
25d (F48),B47C20B,1995,170,231,06/15 →
25e (F48),B38A15A,1499,162,220,03/20 →
25i (F48),B48A20B,1998,170,231,06/15 →
28i (F48),B48A20B,1998,170,231,06/15 →
