Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
3.0 d (E70),M57D30N2,2993,173,231,03/07 → 06/10
3.0 dX (E70),"M57D30N2, N57D30A",2993,155,211,10/08 → 07/13
3.0 sd (E70),M57D30N2,2993,210,286,09/07 → 06/10
3.0si (E70),"N52B30A, N52B30AF, N52B30BF",2996,200,272,11/06 → 06/10
3.5 d (E70),M57D30N2,2993,210,286,05/08 → 06/10
30 dX (E70),N57D30A,2993,180,245,05/10 → 07/13
30i (E70),N52B30A,2996,194,264,09/08 → 12/10
35 dX (E70),M57D30N2,2993,210,286,05/10 → 07/13
35 iX (E70),N55B30A,2979,225,306,05/10 → 07/13
4.8i (E70),N62B48B,,261,355,11/06 → 06/10
40 dX (E70),N57D30B,2993,225,306,05/10 → 06/13
5.0 M (E70),S63 B44A,4395,408,555,10/09 → 07/13
50 iX (E70),N63 B44A,4395,300,407,05/10 → 07/13
M50d (E70),N57D30C,2993,280,381,08/12 → 06/13
