Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
30d X (G06),B57D30A,2993,155,211,08/19 → 07/20
30d X (G06),B57D30A,2993,183,249,08/19 → 07/20
30d X (G06),B57D30A,2993,195,265,08/19 → 07/20
"30d X Mild-Hybrid (G06, F96)","B57D30B, JA1",2993,155,211,08/20 →
"30d X Mild-Hybrid (G06, F96)","B57D30B, JA1",2993,183,249,08/20 →
"30d X Mild-Hybrid (G06, F96)","B57D30B, JA1",2993,210,286,08/20 →
"30d X Mild-Hybrid (G06, F96)",B57D30B,2993,219,298,04/23 →
"40d xDrive Mild-Hybrid (G06, F96)","B57 D30 B, JA1",2993,250,340,05/20 →
40i X (G06),B58B30C,2998,250,340,08/19 →
40i xDrive Mild-Hybrid (G06),B58B30C,2998,245,333,12/20 →
40i xDrive Mild-Hybrid (G06),B58B30P,2998,280,381,04/23 →
M (F96),S63 B44 B,4395,441,600,12/19 →
M Competition (F96),S63 B44 B,4395,460,625,12/19 →
M Competition (F96),S68 B44 A,4395,460,625,04/23 →
M50d X (G06),B57D30C,2993,294,400,08/19 →
M50i X (G06),N63B44D,4395,390,530,08/19 →
"M60i xDrive Mild-Hybrid (G06, F96)",S68 B44 A,4395,390,530,04/23 →
