Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.8 (E36/7),M 43 B 18,1796,85,116,03/96 → 08/98
1.8 (E36/7),M 44 B 19,1895,87,118,09/98 → 01/03
1.9 (E36/7),M 44 B 19,1895,85,116,04/99 → 01/03
1.9 (E36/7),M 44 B 19,1895,87,118,07/98 → 01/03
1.9 (E36/7),M 44 B 19,1895,103,140,03/96 → 04/99
2.0 (E36/7),M 52 B 20,1990,110,150,01/99 → 01/03
2.2 (E36/7),M 54 B 22,2171,120,163,10/00 → 01/03
2.2 (E36/7),M 52 B 22,2171,125,170,09/00 → 01/03
2.8 (E36/7),M 52 B 28,2793,141,192,03/96 → 07/00
2.8 Coupé (E36/7),M 52 B 28,2793,141,192,07/97 → 07/00
3.0 (E36/7),M 54 B 30,2979,170,232,06/00 → 06/03
M 3.2 (Coupé/Roadster) (E36/7),S 50 B 32,3201,236,321,03/97 → 07/01
M 3.2 (Coupé/Roadster) (E36/7),S 50 B 32,3246,239,325,06/01 → 06/03
