Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
11,,1124,42,57,10/86 → 06/92
14,K1H (TU3A),1360,47,64,01/89 → 12/89
14,KDY (TU3M),1360,55,75,01/89 → 02/93
14 Break,150C,1360,53,72,01/86 → 02/93
14 E,150A,1360,45,61,10/82 → 01/92
14 E,150C,1360,52,71,04/83 → 07/89
14 E,150C,1360,53,72,04/83 → 02/93
14 E,150F,1360,49,67,09/85 → 02/93
14 E,,1360,59,80,10/85 → 05/89
16,,1580,67,91,10/82 → 08/84
16,171C,1580,66,90,10/82 → 06/88
16,,1580,67,91,10/83 → 08/94
16,171D,1580,64,87,07/85 → 02/93
16,180Z,1580,76,103,03/86 → 02/93
16,B1E (XU51C),1580,53,72,09/87 → 02/93
16,B1E (XU51C),1580,58,79,09/87 → 02/93
16,"BAY(XU5CP),BAZ(XU5CP",1580,55,75,09/88 → 12/94
16 Break,171D,1580,64,87,07/85 → 12/94
16 Break,180Z,1580,76,103,03/86 → 12/94
16 Break,B1E (XU51C),1580,53,72,09/88 → 12/94
16 Break,BDY (XU5M),1580,65,88,05/89 → 12/94
16 E,BDY (XU5M),1580,65,88,05/89 → 02/93
18 D,161 (XUD7),1769,44,60,10/85 → 09/93
19,159A,1905,75,102,07/86 → 05/89
19,D2C (XU92C),1905,70,95,09/86 → 11/89
19,D2E,1905,78,107,01/87 → 01/92
19,DDZ (XU9M),1905,80,109,06/88 → 02/93
19,DKZ (XU9JA),1905,88,120,06/88 → 02/93
19 Break,D2A,1905,75,102,07/86 → 12/94
19 Break,D2C (XU92C),1905,70,95,12/87 → 12/89
19 Break,DDZ (XU9M),1905,80,109,06/88 → 12/94
19 Break,DKZ (XU9JA),1905,88,120,06/88 → 12/94
19 Break 4WD,DDZ (XU9M),1905,80,109,10/90 → 05/91
19 D,D9A (XUD9),1905,47,64,09/83 → 12/87
19 D,D9B (XUD9A),1905,51,69,03/87 → 02/93
19 D,DJZ (XUD9Y),1905,47,64,10/92 → 09/93
19 D Break,D9B (XUD9A),1905,51,69,03/87 → 12/94
19 D Break,DJZ (XUD9Y),1905,47,64,10/92 → 11/94
19 E 4x4,D2F,1905,80,109,04/89 → 02/93
19 GTI,D6A (XU9J2),1905,90,122,07/86 → 02/93
19 GTi 16V,D6C (XU9J4),1905,116,158,09/87 → 12/88
19 GTi 16V,DFW (XU9J4),1905,108,147,03/88 → 02/93
19 GTi 4x4,DKZ (XU9JA),1905,88,120,06/88 → 02/93
19 TRD,AJZ (XUD7TE),1769,66,90,03/88 → 12/94
