Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 110 (B9),EB2DT,1199,81,110,03/16 →
1.6 (B9),TU5JP4B,1587,66,90,04/08 →
1.6 (B9),TU5JP4,1587,80,109,04/08 →
1.6 BlueHDi 100 (B9),DV6FD,1560,73,99,02/15 →
1.6 BlueHDi 120 (B9),DV6FD,1560,88,120,02/15 →
1.6 HDi (B9),"DV6ATED4/BU,DV6DTED M (Euro 5)",1560,66,90,04/08 → 12/14
1.6 HDi (B9),DV6TED4,1560,80,109,04/08 →
1.6 HDi FAP (B9),DV6DTED4,1560,68,92,03/10 →
1.6 HDi FAP (B9),DV6C,1560,82,112,03/10 →
"1.6 HDi, 1.6 BlueHDi 75 (B9)","DV6BTED4,DV6ETED/4,DV6FE (E6)",1560,55,75,04/08 →
1.6 VTi 120 (B9),EP6,1598,88,120,11/09 →
1.6 VTi 95 (B9),EP6CDTR,1598,72,98,08/10 →
Electric (B9),,,49,67,07/14 →
Electric (B9),,,42,57,01/11 → 12/11
