Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 110 (A88),"EB2DT, EB2ADT, EB2DTM",1199,81,110,09/17 →
1.2 PureTech 130 (A88),"EB2DTS, EB2ADTS",1199,96,131,09/17 →
1.2 PureTech 82 (A88),"EB2FA, EB2F",1199,60,82,09/17 →
1.5 BlueHDi 100 (A88),DV5RD,1499,74,101,07/18 →
1.5 BlueHDi 110 (A88),DV5RCE,1499,81,110,10/20 →
1.5 BlueHDi 120 (A88),DV5RC,1499,88,120,08/18 →
1.6 BlueHDi 100 (A88),DV6FD,1560,73,99,09/17 →
1.6 BlueHDi 115 (A88),DV6FC,1560,85,116,06/17 →
1.6 BlueHDi 120 (A88),DV6FC,1560,88,120,09/17 →
1.6 HDi 92 (A88),DV6DTED E5,1560,68,92,09/17 →
