Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0 VTi 68 / PureTech 68 (A51),EB0,999,50,68,08/12 →
1.1 (A51),TU1AE5,1124,44,60,11/09 → 01/13
1.2 PureTech 110 (A51),EB2DT,1199,81,110,08/14 →
1.2 VTi 82 / PureTech 82 (A51),EB2,1199,60,82,10/12 → 09/16
1.4 (A51),TU3A/TU3AE5,1360,54,73,11/09 → 09/16
1.4 HDi 70 (A51),"DV4TD, DV4C",1398,50,68,11/09 → 09/16
1.4 LPG,,1397,70,95,07/10 →
1.4 VTi 95 (A51),EP3C,1397,70,95,11/09 →
1.6 BlueHDi 100 (A51),DV6FD,1560,73,99,11/14 →
1.6 BlueHDi 75 (A51),BHW (DV6FE),1560,55,75,04/15 → 09/16
1.6 HDi 110 FAP (A51),DV6CTED E5,1560,82,112,11/09 →
1.6 HDi 75 FAP (A51),DV6ETED,1560,55,75,07/12 →
1.6 HDi 90 (A51),DV6ATED4 E4,1560,66,90,11/09 →
1.6 HDi 90 FAP (A51),DV6DTED E5,1560,68,92,01/10 → 09/16
1.6 VTi 120 (A51),EP6C,1598,88,120,11/09 →
