Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V,ET3J4 (TU3JP4),1360,65,88,10/04 → 12/10
1.6 16V,TU5JP4,1587,80,109,10/04 → 09/08
1.6 16V THP 140 Automatic,EP6DT,1587,103,140,09/08 → 12/10
1.6 16V THP 150,EP6DT,1587,110,150,09/08 → 12/10
1.6 16V VTi 120,EP6,1587,88,120,09/08 → 12/10
1.6 HDi,DC6C M,1560,80,109,04/10 → 11/12
1.6 HDi 110,DV6TED4,1560,80,109,10/04 → 12/10
1.6 HDi 110 FAP,DV6CTED,1560,82,112,03/10 → 12/10
1.6 HDi 90,DV6ATED4,1560,66,90,10/04 → 12/10
1.6 HDi 90 FAP,DV6DTED,1560,68,92,03/10 → 12/10
2.0 16V,EW10J4,1997,100,136,10/04 → 12/10
2.0 16V Automatic,EW10A,1997,103,140,10/04 → 12/10
2.0 16V WT (VTS),EW10J4S,1997,130,177,10/04 → 12/10
2.0 HDi 110,RHZ (DW10ATED),1997,81,110,04/07 → 07/08
2.0 HDi 135,DW10BTED4,1997,100,136,10/04 → 12/10
2.0 HDi 140,DW10BTED4,1997,103,140,08/08 → 12/10
