Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6 16V THP 140 Automatic,EP6DT,1598,103,140,10/08 → 12/10
1.6 16V THP 150,EP6DT,1598,110,150,10/08 → 08/13
1.6 16V VTi 120,EP6,1598,88,120,10/08 → 08/13
1.6 HDI 110 FAP,DV6C,1560,82,112,03/10 → 08/13
1.6 HDi 110,DV6TED4,1560,80,109,10/06 → 08/13
1.6 THP 155,EP6CDT,1598,115,156,10/10 → 08/13
1.8 16V,EW7A,1749,92,125,10/06 → 10/12
1.8 16V Flex,EW7A,1749,86,117,06/09 → 10/13
2.0 16V,EW10A,1997,103,140,10/06 → 08/13
2.0 HDi 135,DW10BTED4,1997,100,136,10/06 → 12/13
2.0 HDi 150,DW10CTED4,1997,110,150,07/09 → 08/13
2.0 HDi 165,DW10CTED4,1997,120,163,10/10 → 08/13
