Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 110,EP2DT,1199,81,110,07/16 →
1.2 PureTech 130,EP2DTS,1199,96,131,01/15 →
1.5 BlueHDi 100,DV5RD,1499,74,101,07/18 →
1.6 BlueHDi 100,DV6FD,1560,73,99,01/15 →
1.6 BlueHDi 120,DV6FC,1560,88,120,07/14 →
"1.6 HDi 90, e-HDi 90",DV6DTED,1560,68,92,06/13 →
1.6 THP 150/155,EP6CDT,1598,115,156,06/13 →
1.6 THP 165,EP6FDT,1598,121,165,07/14 →
1.6 VTi 120,EP6C,1598,88,120,06/13 →
1.6 e-HDi 115,"DV6C, DV6FC",1560,85,116,06/13 →
2.0 BlueHDi 135,DW10FD,1997,100,136,01/14 →
2.0 BlueHDi 150,DW10FD (AHX),1997,110,150,10/13 →
