Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 110,EB2DTSD,1199,81,110,04/18 →
1.2 PureTech 130,EB2DTS,1199,96,131,04/18 →
1.5 BlueHDi 130,YHZ (DV5RC),1499,96,131,05/18 →
1.6 BlueHDi 100,DV6FD,1560,73,99,04/18 →
1.6 BlueHDi 120,DV6FC,1560,88,120,04/18 →
1.6 THP 150,EP6FDTMD,1598,110,150,04/18 →
1.6 THP 165,EP6FDT,1598,121,165,04/18 →
1.6 THP 180,EP6FADTXD,1598,133,181,04/18 →
2.0 BlueHDi 150,DW10FD (AHX),1997,110,150,04/18 →
2.0 BlueHDi 160,DW10FCC (EHY),1997,120,163,04/18 →
