Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0,M20-616,1985,75,102,09/74 → 05/79
2.0,829 A5,1995,78,106,06/79 → 08/85
2.0 Break,829 A5,1995,78,106,08/84 → 08/86
2.0 RE,829 A5,1995,78,106,08/85 → 12/92
2.2,M22-617,2175,82,112,01/75 → 07/76
2.2 D,M22-621,2175,49,67,10/75 → 02/79
2.2 TRS,J6T A500,2150,83,113,07/85 → 12/92
2.4,M23-623,2347,85,116,08/76 → 06/80
2.4,M23-639,2350,88,120,05/80 → 05/82
2.4 GTi,M23-622,2347,96,131,06/77 → 06/82
2.4 GTi,M23-622,2350,94,128,06/77 → 06/82
2.4 GTi Break,M23-622,2350,94,128,07/82 → 06/83
2.5 D,M25-629,2482,55,75,02/78 → 06/82
2.5 D,M25-660,2500,54,73,08/85 → 12/92
2.5 D Break,M25-629,2500,55,75,02/78 → 08/85
2.5 GTi,M25-668,2500,89,121,05/86 → 12/92
2.5 GTi Turbo 2,M25-662,2500,122,166,06/84 → 12/92
2.5 GTi Turbo 2,M25-667,2500,115,156,09/86 → 12/92
2.5 TD,M25-648,2500,70,95,04/83 → 12/86
2.5 TD,M25-669,2500,88,120,01/87 → 12/92
2.5 TRi,M25-659,2500,100,136,07/83 → 12/92
