Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 PureTech 110,HNZ (EB2DT),1199,81,110,08/14 → 07/19
1.2 THP 130,HNY (EB2DTS),1199,96,131,09/15 → 07/19
1.2 VTi 82 / PureTech 82,EB2,1199,60,82,10/12 → 07/19
1.4 HDi 70,DV4C,1398,50,68,10/10 → 07/15
1.4 VTi 95,EP3C,1397,70,95,03/10 → 07/15
1.6 16V Racing,EP6DTS,1598,152,207,11/10 → 07/15
1.6 16V Turbo,EP6DT,1598,115,156,03/10 → 07/15
1.6 16V VTi 120,EP6C,1598,88,120,03/10 → 07/15
1.6 BlueHDi 100,DV6FD,1560,73,99,06/14 → 07/19
1.6 BlueHDi 115,DV6FC,1560,85,116,03/14 → 07/15
1.6 BlueHDi 120,DV6FC,1560,88,120,03/14 → 07/19
1.6 BlueHDi 75,BHW (DV6FE),1560,55,75,03/15 → 07/19
1.6 HDi 110 FAP,DV6C,1560,82,112,03/10 → 07/15
1.6 HDi 90 FAP,DV6DTED,1560,68,92,03/10 → 07/15
1.6 THP 165,EP6FDT/FDTM,1598,121,165,10/14 → 07/19
1.6 THP 208,5GM (EP6FDTX),1598,153,208,09/15 → 07/19
