Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 e-THP. PureTech 130,EP2DTS,1199,96,131,08/14 → 12/18
1.6 BlueHDi 100,DV6FD,1560,73,99,04/16 → 12/18
1.6 BlueHDi 115,DV6FC,1560,85,116,11/14 → 07/15
1.6 BlueHDi 120,DV6FC,1560,88,120,11/14 → 12/18
1.6 HDI 92,DV6DTED,1560,68,92,05/11 → 07/15
1.6 THP 150,EP6CDTMD,1598,110,150,04/11 → 07/15
1.6 THP 155,EP6CDT,1598,115,156,05/11 → 07/15
1.6 THP 160,EP6CDTMD,1598,120,163,02/12 → 07/15
1.6 THP 165,EP6FDT/FDTM,1598,121,165,01/15 → 12/18
1.6 THP 200,EP6CDTX,1598,147,200,05/11 → 07/15
1.6 THP 210,EP6FDTX,1598,155,211,01/15 → 12/18
1.6 VTi120,"EP6C, EP6CG (Gas)",1598,88,120,05/11 → 07/15
1.6 e-HDi / HDi 110,DV6C,1560,82,112,05/11 → 07/15
2.0 BlueHDi 150,DW10FD,1997,110,150,01/15 → 12/18
2.0 BlueHDi 180,DW10FC,1997,132,180,01/15 → 12/18
2.0 HDi 135,DW10BTED4,1997,100,136,09/11 → 07/15
2.0 HDi 160,DW10CTED4,1997,120,163,05/11 → 07/15
