Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
2.0 BlueHDI 110,DW10FUE,1997,81,110,09/15 →
2.0 BlueHDI 130,DW10FUD,1997,96,130,09/15 → 09/19
2.0 BlueHDI 160,DW10FUC,1997,120,163,09/15 → 09/19
2.2 BlueHDi 120,DW12RUE,2179,88,120,08/19 →
2.2 BlueHDi 140,DW12RUD,2179,103,140,08/19 →
2.2 BlueHDi 165,DW12RUC,2179,121,165,08/19 →
2.2 HDi 100,22 DT PUMA,2198,74,100,07/06 → 12/12
2.2 HDi 120,22 DT PUMA,2198,88,120,07/06 →
2.2 HDi FAP 110,22 DT PUMA Euro 5,2198,81,110,07/11 →
2.2 HDi FAP 130,22 DT PUMA Euro 5,2198,96,131,07/11 →
2.2 HDi FAP 150,22 DT PUMA Euro 5,2198,110,150,07/11 →
3.0 HDi 160,"F30 DT, F30 DT E5",2998,115,157,07/06 →
3.0 HDi FAP,F30 DT E5,2998,107,145,01/10 →
3.0 HDi FAP 180,F30 DT Euro 5,2998,130,177,07/11 →
e-Jumper,A3H256B42G000,,90,122,07/21 →
