Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.9 D,D9B (XUD9),1905,50,68,07/99 → 03/02
1.9 D,D9B (XUD9),1905,51,70,02/94 → 03/02
1.9 TD,D8C,1905,67,92,02/94 → 03/02
1.9 TD,DHX,1905,67,92,02/94 → 03/02
1.9 TD,D8C (XUD9UTF),1905,66,90,08/94 → 03/02
1.9 TD,D8C (XUD9UTF),1905,68,92,02/94 → 03/02
1.9 TD 4x4,D8C (XUD9UTF),1905,68,92,08/96 → 03/02
2.0,RFW (XU10J2U),1998,80,109,02/94 → 03/02
2.0 4x4,,1998,80,109,08/96 → 03/02
2.0 HDi,DW10TD,1997,62,84,08/01 → 03/02
2.0i,RFW,1998,80,110,02/94 → 03/02
2.5 D,T9A,2446,63,86,02/94 → 03/02
2.5 D,T9A (DJ5),2446,63,86,08/94 → 03/02
2.5 D,,2446,79,107,12/96 → 03/02
2.5 D 4x4,T9A (DJ5),2446,63,86,08/96 → 03/02
2.5 D 4x4,,2446,79,107,12/96 → 03/02
2.5 TD,T8A (DJ5T),2446,76,103,08/94 → 12/00
2.5 TD 4x4,T8A (DJ5T),2446,76,103,08/96 → 12/00
2.5 TDI,"THX, THZ (DJ5TED)",2446,79,108,11/96 → 12/00
2.8 HDi,,2798,64,87,01/99 → 02/02
2.8 HDi,,2798,94,128,09/00 → 03/02
