Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.6i,BFZ (XU5JP),1580,65,88,03/93 → 03/01
1.8i,LFZ (XU7JP),1761,74,101,03/93 → 01/98
1.8i,,1761,66,90,04/97 → 04/03
1.8i 16V,LFY (XU7JP4),1761,81,110,06/95 → 04/03
1.9 D,DJZ (XUD9Y),1905,50,68,06/94 → 01/98
1.9 D,D9B (XUD9A/L),1905,51,69,06/94 → 01/98
1.9 D,,1905,55,75,02/96 → 04/03
1.9 D Break,,1905,55,75,04/97 → 04/03
1.9 TD,DHY (XUD9TE/Y),1905,66,90,10/94 → 04/03
1.9 Turbo D,"DHX,D8B(XUD9TF)",1905,66,90,06/95 → 01/98
2.0 HDI 109,,1997,80,109,02/99 → 04/03
2.0 HDI 90,,1997,66,90,03/99 → 04/03
2.0 Turbo,RGX (XU10J2TE),1998,108,147,06/95 → 04/03
2.0i,RFX (XU10J2),1998,89,121,03/93 → 04/03
2.0i 16V,RFY (XU10J4/Z),1998,112,152,03/93 → 01/98
2.0i 16V,RFT (XU10J4/Z),1998,110,150,06/94 → 01/98
2.0i 16V,PFV (XU10J4R),1998,97,132,06/95 → 04/03
2.1 Turbo D 12,P8C (XUD11BTE),2088,80,109,06/95 → 02/99
3.0 V6,XFZ(XU10J4R),2946,140,190,01/98 → 04/03
3.0i 24V,ES9 J4,2946,140,190,01/97 → 01/98
