Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 HDi 70,8HX (DV4TD),1398,50,70,02/03 → 08/05
1.4 LPG,"KFX, KFW (TU3JP)",1360,55,75,05/98 → 12/10
1.4i,KFX (TU3JP),1360,55,75,10/97 → 08/05
1.5 D,VJZ (TUD5),1527,42,57,10/97 → 09/00
1.6i,NFZ (TU5JP),1587,66,90,10/97 → 09/00
1.6i 16V,NFU,1587,80,109,10/00 → 08/05
1.8 D,XUD7,1769,43,58,10/97 → 09/00
1.8 LPG,LFY (XU7JP4),1761,81,110,05/98 → 08/00
1.8 TD,XUD7T,1761,66,90,10/97 → 09/00
1.8i,LFX (TU7JP),1761,66,90,10/97 → 09/00
1.8i,LFZ (XU7JP),1761,74,101,10/97 → 09/00
1.8i 16V,LFY (XU7JP4),1761,81,110,10/97 → 09/00
1.9 D,DJY (XUD9A),1905,50,68,04/97 → 09/00
1.9 D,DHV (XUD9BSD),1905,55,75,01/98 → 09/00
1.9 D,DW8/WJY,1868,51,70,07/98 → 08/05
1.9 TD,DHY (XUD9TE/Y),1905,66,90,10/97 → 09/00
2.0 HDI 110,DW10 ATED,1997,80,109,06/01 → 08/05
2.0 HDI 90 (N1),RHY (DW10TD),1997,66,90,02/99 → 03/05
2.0i 16V,RFS (XU10J4RS),1998,120,163,10/97 → 03/05
2.0i 16V,RFV (XU10J4R),1998,97,132,07/98 → 09/00
2.0i 16V,RFN (EW10J4),1998,100,136,10/00 → 08/05
