Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 TCe 125 (HS),H5F,1197,92,125,11/13 → 01/18
1.2 TCe 125 4x4 (HS),H5F,1197,92,125,10/13 → 01/18
1.5 dCi (HS),K9K 896,1461,79,107,04/10 → 01/18
1.5 dCi (HS),K9K 898/884,1461,81,110,04/10 → 01/18
1.5 dCi (HS),K9K 796,1461,63,86,04/10 → 01/18
1.5 dCi (HS),K9K 894,1461,66,90,10/10 → 01/18
1.5 dCi (HS),"K9K 856, K9K 858",1461,80,109,08/13 → 01/18
1.6 16V (HS),K4M 690 / K4M 696,1598,77,105,04/10 → 01/18
1.6 16V 4x4 (HS),K4M 606,1598,77,105,04/10 → 01/18
1.6 16V 4x4 (HS),K4M 616,1598,75,102,04/11 → 06/15
1.6 16V LPG (HS),K4M 616,1598,74,100,04/11 → 01/18
1.6 SCe 115 (HS),H4M,1598,84,114,06/15 → 01/18
1.6 SCe 115 4x4 (HS),H4M,1598,84,114,06/15 → 01/18
1.6 SCe 115 LPG (HS),H4M,1598,84,114,06/15 → 01/18
2.0 (HS),F4R,1998,98,133,02/12 → 01/18
2.0 16V (HS),F4R,1998,105,143,10/11 → 01/18
2.0 16V 4x4 (HS),F4R,1998,105,143,10/11 → 01/18
2.0 4x4 (HS),F4R,1998,99,135,02/12 → 01/18
