Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 TCe,H4B,898,66,90,01/13 →
1.0 LPG (HM),H4D,999,74,101,01/19 →
1.0 SCe 75,B4D,998,54,73,12/16 →
1.0 TCe 100 (HM),H4D,999,74,101,01/19 →
1.0 TCe 90 (HM),H4D,999,67,91,12/19 →
1.2,D4F,1149,54,73,05/15 →
1.2 16V,D4F,1149,55,75,01/13 →
1.2 16V LPG,D4F,1149,53,72,01/13 →
1.5 dCi,K9K,1491,55,75,01/13 →
1.5 dCi,K9K 872,1461,70,95,08/18 →
1.5 dCi 90,K9K,1491,66,90,01/13 →
1.6,K7M,1598,61,83,01/13 →
1.6,K7M,1598,75,102,04/15 →
1.6 16V,K4M 690,1598,77,105,01/13 →
