Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2,,1189,48,65,02/73 → 07/75
1.2,124A.000,1197,48,65,04/67 → 05/73
1.2,,1197,44,60,04/67 → 05/73
1.2 (TA),,1189,44,60,07/66 → 05/73
1.4 Sport,124AC.000,1438,66,90,06/67 → 10/72
1.5 Special,,1427,51,69,12/68 → 07/75
1.5 Special,,1427,59,80,01/71 → 07/75
1.5 Special,,1427,55,75,01/73 → 07/75
1.6 (BC1),,1597,74,101,11/71 → 10/73
1.6 (BC1),,1608,81,110,04/70 → 10/73
1.6 Special,,1577,70,95,01/73 → 07/75
1.6 Sport,132AC.000,1592,76,104,08/72 → 12/75
1.6 Sport,132AC.000,1592,80,108,04/70 → 10/73
1.8 Sport (CC1),,1756,87,118,01/73 → 02/76
1.8 Sport,,1756,84,114,01/73 → 02/76
