Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.5 BS,,1427,66,90,01/66 → 12/72
1.6 BS1,132 AC.000,1597,74,100,11/69 → 08/73
1.6 BS1,132 AC.000,1597,81,110,01/69 → 12/74
1.6 Sport (BS1),132 AC.000,1592,76,104,01/69 → 12/74
1.8 CS1,,1739,87,118,01/72 → 12/77
1.8 Rally Abarth,,1739,94,128,01/73 → 07/75
1.8 Sport (CS1),,1756,84,114,01/72 → 12/77
1.8 Sport (CS1),,1739,82,112,01/73 → 07/75
2.0 (Kat.),132 C3.031,1995,76,103,06/79 → 04/85
2.0 Kat. Volumex,232R14,1981,99,135,06/83 → 04/85
2.0 i.e.Europa (124 DS),132 C3.031,1995,77,105,03/82 → 03/87
