Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.4 16V,,1368,66,90,03/07 → 12/14
1.4 Turbo T-Jet,,1368,88,120,09/07 → 12/14
1.4 Turbo T-Jet,198 A1.000,1368,110,150,06/07 → 12/14
1.4 Turbo T-Jet Multiair,,1368,103,140,06/10 → 12/14
1.6 D M-Jet 16 V,,1598,66,90,02/08 → 12/14
1.6 D M-Jet 16V,,1598,77,105,02/08 → 12/14
1.6 D M-Jet 16V,,1598,88,120,02/08 → 12/14
1.6 JTD,198 A3.000,1598,77,105,03/08 → 12/14
1.9 JTD 120,"192 A1.000, 192 A8.000",1910,88,120,03/07 → 06/08
1.9 JTD 150,,1910,110,150,03/07 → 01/09
1.9 JTD 90,,1910,66,90,03/07 → 12/08
2.0 D M-Jet 16V,,1956,121,165,10/08 → 12/14
