Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 D Multijet,,1248,55,75,11/13 →
1.3 D Multijet,225 A2.000,1248,59,80,03/16 →
1.3 D Multijet,330 A1.000,1248,70,95,03/16 →
1.3 MTJD,,1248,66,90,01/10 →
1.4 16V,,1368,88,120,03/15 →
1.4 16V,843A1.000,1368,70,95,01/10 →
1.4 Natural Power (CNG),198A4.000,1368,88,120,05/10 →
1.6 D Multijet,263 A7.000,1598,70,95,03/15 →
1.6 D Multijet,46346020,1598,77,105,09/21 →
1.6 D Multijet,940 C1.000,1598,88,120,03/15 →
1.6 JTD,263A3.000,1598,74,100,01/10 →
1.6 JTD,,1598,77,105,01/10 →
1.6 JTD,263A4.000,1598,66,90,01/10 →
2.0 JTD,263A1.000,1956,99,135,01/10 →
