Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 (127),100 GL.000,896,33,45,10/77 → 03/81
1.0 (147),,1049,37,50,10/76 → 12/79
1.0 (127),127 A.000,1036,37,50,01/80 → 12/87
1.0,127 A.000,1036,37,50,01/80 → 12/87
1.0 (146),156 A.000,1036,41,56,12/87 → 08/93
1.1 (147),146 A9.000,1116,40,55,11/86 → 04/88
1.1 (147 Pick up),156 A.000,1036,41,56,09/87 → 12/88
1.1 (146),156 A.000,1116,40,55,12/87 → 08/93
1.1 60 (146),146 A9.000,1116,40,54,05/88 → 12/93
1.3 (147),146 A5.000,1288,49,67,12/87 → 08/93
1.3 70 (146 Uno),146A5.000,1301,49,67,09/93 → 12/94
1.3 D (146/147),127 A5.000,1288,33,45,03/82 → 12/87
1.4 70 (146),146 A5.000,1372,49,67,10/89 → 05/01
1.4 70 i.e. (146),"146 C5.000, 146 D5.000",1372,49,67,05/94 → 05/01
1.5 i.e. 75 (146),149 C1.000,1499,55,75,05/88 → 12/93
1.6 (146),146 D6.000,1581,55,75,01/94 → 05/01
1.7 D (146),149 B3.000,1698,44,60,12/87 → 12/90
1.7 D (146),146 B2.000,1697,42,57,01/88 → 10/99
1.7 D (146),146 D7.000,1698,46,63,01/97 → 05/01
1.7 D 60 (146),149 B2/3.000,1697,42,57,05/88 → 10/96
1.7 D 60 (146),149 B3.000,1698,44,60,05/88 → 05/00
1.7 TD (146),146 D7.000,1698,46,63,01/99 → 05/01
