Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 16V,182 B2.000,1242,60,82,10/98 → 05/02
1.4i 16V,182 A3.000,1370,59,80,09/96 → 05/02
1.6 16V 100,186 A4.000,1581,76,103,04/99 → 08/02
1.6i 16V,182 A4.000,1581,76,103,09/96 → 08/02
1.8i 16V,182 A2.000,1747,83,113,09/96 → 05/02
1.9 JTD 105,,1910,77,105,04/99 → 12/00
1.9 JTD 110,186.A6.000,1910,81,110,10/00 → 05/02
1.9 TD 100,182 A7.000,1910,74,100,09/96 → 05/02
1.9 TD 75,182 A8.000,1910,55,75,09/96 → 05/02
2.0 20V,182.A1.000,1998,108,147,09/96 → 05/99
2.0 20V,,1998,113,154,04/99 → 12/00
2.0 20V 150,185A8.000,1998,110,150,10/00 → 05/02
2.4 JTD,AR32501,2387,96,130,04/99 → 05/02
2.4 TD 125,185 A2.000,2387,91,125,09/96 → 05/99
