Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1 55,176 B2.000,1108,40,54,01/94 → 02/00
1.2 16V,176 B9. 000,1242,63,86,04/97 → 06/00
1.2 60,176 A7.000,1242,43,58,01/94 → 06/00
1.2 60,176 B4.000,1242,44,60,03/94 → 06/00
1.2 75,176 A8.000,1242,54,73,01/94 → 09/99
1.4 GT Turbo,176 A4.000,1372,98,133,01/94 → 10/96
1.4 GT Turbo,176 A4.000,1372,96,131,09/96 → 08/99
1.6 90,176 A9.000,1581,65,88,01/94 → 05/97
1.7 D,176 B3.000,1698,42,57,04/96 → 02/00
1.7 TD,176 A5.000,1698,51,69,01/94 → 09/99
1.7 TD,176 A5.000,1698,52,71,01/94 → 02/00
1.7 TD,176 B7.000,1698,46,63,09/96 → 09/99
