Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 Twin Air Turbo,,875,77,105,01/14 →
0.9 Twin Air Turbo,,875,63,85,01/12 →
1.2 (Evo),199BXL1A,1172,50,68,10/14 →
1.2 8V,199A4.000,1242,49,67,10/05 → 02/12
1.2 LPG,,1242,51,69,07/08 → 12/12
1.3 16V Multijet (JTD),199A3000,1248,66,90,02/06 → 08/10
1.3 D Multijet,,1248,62,85,03/12 → 07/15
1.3 D Multijet 16V,,1248,70,95,08/16 →
1.3 D Multijet 16V,"""955 B2.000""",1248,66,90,05/16 →
1.3 JTD,,1251,70,95,01/10 → 02/12
1.3 JTD,,1251,63,85,04/10 → 02/12
1.3 JTD,199A3.000,1248,66,90,10/05 → 02/12
1.3 JTD,199A2.000,1248,55,75,10/05 → 02/12
1.4 16V,199A6.000,1368,70,95,02/06 → 08/11
1.4 16V Multiair,,1390,99,135,01/10 → 02/12
1.4 16V Multiair,,1390,77,105,01/10 → 02/12
1.4 8V,350A1.000,1368,57,77,10/05 → 02/12
1.4 Abarth Esseesse,,1368,132,180,12/07 → 12/12
1.4 Natural Power (199),350A1.000,1368,57,77,03/09 → 12/12
1.4 Natural Power (CNG),,1368,51,70,11/08 → 02/12
1.4 TB Multiair Abarth,,1368,120,165,05/10 → 02/12
1.4 Turbo T-Jet,198A4.000,1368,88,120,06/07 →
1.4 Turbo T-Jet Abarth,,1368,114,155,09/08 → 06/10
1.6 Multijet 16V,,1598,88,120,10/08 → 02/12
1.9 JTD,199A5.000,1910,96,130,10/05 →
1.9 JTD,939A1.000,1910,88,120,10/05 →
1.9 JTD,939A1.000,1910,85,116,06/06 → 12/09
