Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.3 70 ES,149 A7.000,1301,48,65,09/83 → 07/89
1.3 i.e. 70 Weekend,,1301,50,68,01/84 → 07/89
1.5 85,149 A5.000,1465,58,79,05/85 → 12/87
1.5 85 Super,138 B3.000,1465,60,82,09/83 → 04/85
1.5 S i.e. 75,138 C3.048,1498,55,75,12/83 → 12/87
1.5 i.e. 75,149 C1.000,1498,55,75,10/83 → 07/89
1.5 i.e. 75 Weekend,138 C3.048,1465,55,75,04/85 → 07/89
1.6 S 85 (R),149 A.000,1585,60,82,10/83 → 06/91
1.6 S i.e. 100 Weekend (RF),149 A4.000,1585,74,101,09/84 → 06/91
1.6 S i.e. 90,149 C2.000,1595,66,90,01/87 → 07/89
1.6 Super 100,149 A2.000 / 149 A4.000,1585,74,101,10/83 → 12/90
1.6 Super 100 (138),,1585,70,95,10/83 → 07/89
1.7 D,138 B6.000,1698,43,58,09/83 → 04/85
1.7 D,149 B3.000,1677,44,60,05/85 → 03/89
2.0 D,149 A1.000,1911,48,65,04/84 → 07/89
2.0 D Weekend,149 A1.000,1911,48,65,04/84 → 07/89
2.0 TD,831 D1.000,1911,59,80,05/86 → 07/89
