Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.0,,994,45,61,04/96 →
1.1,,1108,,,04/96 →
1.2,"176A8.000, 178B5.000",1242,54,73,04/96 → 12/02
1.2,,1242,44,60,02/01 → 12/12
1.3 JTD,,1248,51,70,09/03 → 12/09
1.4,,1372,51,69,04/96 → 12/09
1.4,178F3011/5038,1368,57,77,03/05 → 12/09
1.4 (PL),,1372,52,71,01/97 →
1.4 8V (ELX RST II),178 F 3011,1368,60,81,04/06 → 12/10
1.5,,1497,56,76,01/97 → 12/09
1.6 (PL),,1581,76,103,01/97 →
1.6 16V,,1581,74,100,04/96 →
1.6 16V,,1596,76,103,09/01 → 12/09
1.7 TD,176 A3.000,1698,51,69,04/96 →
1.7 TD (PL),,1698,51,69,07/97 → 12/09
1.9 D,,1910,46,63,03/01 →
1.9 JTD,188 A2.000,1910,57,78,10/01 →
1.9 JTD,188 A2.000,1910,80,109,06/02 →
