Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.2 16V,188 A5.000,1242,59,80,09/01 → 11/06
1.4 16V,843 A1.000,1369,70,95,12/03 → 08/08
1.6 16V,182 B6.000,1596,76,103,09/01 → 08/08
1.6 16V,182 B6.000,1596,100,136,04/05 → 08/08
1.6 16V,192 B3.000,1598,77,105,09/04 → 11/06
1.8 16V,192 A4.000,1747,98,133,09/01 → 08/08
1.9 JTD 115,192 A1.000,1910,85,115,09/01 → 08/08
1.9 JTD 120,"192 A8.000, 937A4.000",1910,88,120,10/05 → 08/08
1.9 JTD 140,"192 B1.000, 192 A5.000",1910,103,140,12/03 → 08/08
1.9 JTD 150,937A5.000,1910,110,150,10/05 → 08/08
1.9 JTD 8V 100,,1910,74,100,09/01 → 08/08
1.9 JTD 8V 80,192 A3.000,1910,59,80,09/01 → 08/08
1.9 JTD 90,192B5.000,1910,66,90,09/04 → 08/08
2.4 20V,192 A2.000,2446,125,170,09/01 → 11/06
