Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
1.1 Digit.,,1108,41,56,01/88 → 10/91
1.4 (AG),,1698,42,57,01/88 → 10/91
1.4 Digit. Selecta (AC),160 A1.048,1372,52,71,07/87 → 12/89
1.4 i.e.,,1372,57,78,05/89 → 04/95
"1.4 i.e. Kat. Digit. (EP,AD,EA)",160 A1.046,1372,51,70,05/89 → 03/93
"1.6 i.e. Kat. (A1,EC,EB)",835 C1.000,1581,55,75,03/93 → 04/95
1.6 i.e. Kat. Digit. (AF),159 A3.046,1581,57,78,03/90 → 03/93
1.6 Digit (AE),160 A2.000,1581,60,82,01/88 → 10/91
1.6 i.e. Kat. Digit.,149 C2.046,1595,66,90,02/88 → 01/90
1.7 D,149 B4.000,1698,42,57,01/88 → 10/91
1.7 D (AG),,1697,45,61,01/88 → 10/95
1.8 16V i.e. (160),,1756,100,136,11/89 → 06/92
1.8 i.e.,,1756,81,110,10/90 → 06/93
1.8 i.e. (AY),159 A4.046,1756,77,105,10/92 → 06/93
1.8 i.e.,835 C4.000,1756,66,90,10/94 → 04/95
1.8 i.e. (AM),159 A4.000,1756,74,101,10/94 → 04/95
1.8 i.e. Kat. (ED),835 C2.000,1756,76,103,03/92 → 03/93
1.9 D (AW),160 B6.046,1929,59,80,06/90 → 03/93
1.9 D,160 A7.000,1929,48,65,07/91 → 08/96
"1.9 TD (EL,GL,AQ,EI,AR)",160 A6.000,1929,66,90,07/87 → 04/95
2.0 16V (AV),160 A8.046,1995,107,146,12/90 → 03/93
2.0 i.e. 16V Sport (EF),836 A3.000,1995,102,139,03/93 → 04/95
"2.0 i.e. Kat. (AT,AJ)",159 A6.046,1995,83,113,03/90 → 03/92
2.0 i.e. Kat. (AJ),159 A5.046,1995,80,109,06/90 → 03/92
