Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
0.9 45 ES,146 A.100,896,33,45,01/83 → 09/92
1.0 (Mille / ELX),146 C 4011,994,41,56,05/93 → 11/95
1.0,146 A 7011,994,42,57,07/95 → 06/01
1.0,146B4000,994,32,44,10/89 → 12/93
1.0 45 (ED),,999,37,50,06/86 → 12/93
"1.0 45 S,SL (ED)",156 A2.100,999,32,44,08/85 → 09/92
1.0 45 i.e.,156 A2.246,999,33,45,08/85 → 09/92
1.0 55 (146A),,994,41,56,04/94 → 11/94
1.1,146A/B,1116,42,57,10/89 → 12/94
1.1 (146A/E),160 A3.000,1108,41,56,01/92 → 06/06
"1.1 50 S,SL",156 C.046,1108,37,50,01/86 → 12/93
1.1 55,138 B.000,1108,40,54,01/83 → 08/89
"1.1 60 S,SL (EG)",146 A4.048,1108,43,58,05/85 → 08/89
1.1 i.e.,146 C.300,1108,36,49,06/92 → 12/94
1.3 70,138 B2.000,1301,50,68,01/83 → 04/85
"1.3 70 S,SL",149 A7.000,1280,48,65,05/85 → 08/89
1.3 D Super,127 A5.000,1288,33,45,06/83 → 03/92
1.3 i.e. Turbo,146 A2.000,1283,77,105,04/85 → 08/89
1.3 i.e. Turbo,146 A2.146,1283,73,99,10/87 → 08/89
1.3 i.e. Turbo,146 A2.246,1301,74,101,09/89 → 03/91
1.4 70 i.e. (146A),,1372,53,72,09/89 → 12/93
1.4 S i.e. Kat. 70,160 A1.046/48,1372,51,70,09/89 → 12/94
1.4 TD 70,146 B.000,1367,52,71,10/86 → 10/90
1.4 Turbo i.e. (146A),146 A8.000,1372,87,118,12/89 → 12/96
1.4 i.e. Turbo,146 A8.046,1372,82,112,09/89 → 09/93
1.5 i.e. 75,149 C1.000,1499,55,75,10/85 → 12/92
1.6 (146A),159 A3.046,1581,65,88,12/89 → 12/93
1.6 R (146A),159 A3.048,1581,66,90,12/92 → 12/95
1.7 D 60,149 B3.000,1677,44,60,07/86 → 08/89
1.7 D DS,146 B2.000,1698,42,57,09/89 → 12/94
1.9 D,149 B5.046,1929,44,60,09/89 → 03/94
